,년도,영업상태코드,X,Y,시설총규모,업소위치분기,영업기간,distance,창업월,구_1_25,프랜차이즈여부_02,sub_1_9
120,1992.0,2,126.9992952,37.58251682,122.38,1,12,0.23805,10,23,0,04
122,1992.0,2,126.98410679999999,37.57218113,76.02,1,788,0.23415,10,23,0,01
123,1992.0,2,126.9973068,37.58406307,32.03,1,435,0.46571999999999997,11,23,0,04
124,1992.0,2,126.9668405,37.57923941,17.03,1,33,0.7137,11,23,0,03
125,1992.0,2,126.9807078,37.57188228,95.55,1,563,0.28251,12,23,0,01
126,1992.0,2,126.9580476,37.57190024,59.66,1,138,0.28578000000000003,12,23,0,03
127,1992.0,2,126.9626004,37.56742046,186.8,1,160,0.40099,12,23,0,05
128,1993.0,2,127.0183465,37.57497683,44.99,1,3591,0.26371,7,23,0,06
129,1993.0,2,126.955229,37.57457013,18.81,1,601,0.23667,7,23,0,03
130,1993.0,2,126.98036570000001,37.57248143,107.32,1,339,0.35022,7,23,0,01
131,1993.0,2,126.96213929999999,37.56782582,42.62,1,1473,0.45838,7,23,0,05
132,1993.0,2,127.0126848,37.57757393,60.71,1,2222,0.30694,7,23,0,06
134,1993.0,2,126.9973005,37.5831497,76.92,1,671,0.4262,7,23,0,04
136,1993.0,2,126.98224280000001,37.57416489,16.59,1,3346,0.44543999999999995,8,23,0,01
138,1993.0,2,126.98054909999999,37.57506721,56.78,1,1226,0.45753,8,23,0,03
139,1993.0,2,126.9639787,37.56916789,61.77,1,790,0.44631000000000004,8,23,0,05
140,1993.0,2,126.99926950000001,37.57151462,32.2,1,1153,0.2093,8,23,0,01
141,1993.0,2,127.0081173,37.57152701,27.26,1,1768,0.22091999999999998,8,23,0,04
142,1993.0,2,126.96944740000002,37.57781514,61.56,1,1270,0.43496,8,23,0,03
143,1993.0,2,126.9807544,37.57121016,59.67,1,4102,0.23676,8,23,0,01
144,1993.0,2,126.9775423,37.57163113,86.53,1,5856,0.09984,8,23,0,05
145,1993.0,2,126.9818021,37.56995719,124.49,1,1143,0.121,8,23,0,01
146,1993.0,2,127.0002581,37.571345,89.2,1,596,0.12070999999999998,8,23,0,01
147,1993.0,2,126.9842468,37.57043944,75.8,1,577,0.10103999999999999,8,23,0,01
148,1993.0,2,126.9946364,37.58412212,27.28,1,1723,0.6832199999999999,8,23,0,04
149,1993.0,2,126.98411499999999,37.57249418,175.5,1,448,0.26708000000000004,8,23,0,01
150,1993.0,2,127.0010605,37.58003426,58.14,1,1044,0.23419,8,23,0,04
151,1993.0,2,126.96167620000001,37.56913591,77.82,1,1579,0.5767100000000001,8,23,0,05
152,1993.0,2,127.0008145,37.5801213,68.39,1,849,0.23328000000000002,9,23,0,04
153,1993.0,1,126.9909561,37.56936698,6.0,1,9976,0.15715,9,23,0,03
154,1993.0,2,126.9823217,37.5730865,42.24,1,3144,0.32649,9,23,0,01
155,1993.0,2,126.99553429999999,37.58355567,34.71,1,223,0.58824,9,23,0,04
156,1993.0,2,126.98619790000001,37.57576569,20.0,1,923,0.10605999999999999,9,23,0,03
157,1993.0,2,126.9588591,37.57112614,42.92,1,435,0.38088,10,23,0,03
158,1993.0,2,126.9603881,37.56997175,45.0,1,1501,0.5455399999999999,10,23,0,03
159,1993.0,2,127.01986399999998,37.572523600000004,34.06,1,1872,0.31937,10,23,0,06
160,1993.0,2,126.96933729999999,37.57662016,39.91,1,1490,0.39276,10,23,0,03
161,1993.0,2,126.9596267,37.57089296,82.41,1,609,0.42531,10,23,0,03
162,1993.0,2,126.998217,37.58327651,27.9,1,2119,0.35507,10,23,0,04
163,1993.0,2,126.99075020000001,37.57077021,90.27,1,1842,0.12885,10,23,0,03
164,1993.0,2,126.9857153,37.57283702,45.95,1,3620,0.36923,11,23,0,01
165,1993.0,1,126.9792415,37.56957984,106.12,1,9922,0.33909,11,23,0,05
166,1993.0,2,126.99012250000001,37.56982927,13.2,1,2435,0.18993,11,23,0,03
167,1993.0,2,126.9863205,37.570785799999996,26.01,1,1138,0.28776999999999997,11,23,0,01
168,1993.0,1,126.99425049999999,37.56912675,11.2,1,9918,0.23488,11,23,0,03
169,1993.0,2,127.0087653,37.57226131,130.43,1,178,0.17627,11,23,0,04
170,1993.0,2,126.9703652,37.57539443,18.9,1,2000,0.2944,11,23,0,03
171,1993.0,2,126.98164820000001,37.56994903,60.24,1,3223,0.1344,12,23,0,01
172,1993.0,2,126.9712287,37.57041996,80.4,1,2507,0.47646000000000005,1,23,0,05
173,1993.0,2,126.98415659999999,37.56892082,134.54,1,694,0.17044,12,23,0,01
174,1993.0,2,126.97054140000002,37.57491201,45.5,1,167,0.29231,12,23,0,03
175,1993.0,2,126.9833646,37.56995122,38.72,1,245,0.03631,12,23,0,01
176,1993.0,2,126.9982892,37.58449959,49.53,1,1493,0.42223,12,23,0,04
177,1993.0,2,127.00040159999999,37.58329409,90.12,1,1619,0.19467,12,23,0,04
178,1993.0,2,126.9863606,37.57055967,17.82,1,531,0.28686,12,23,0,01
181,1993.0,2,127.01866969999999,37.57434365,50.5,1,1036,0.24029,2,23,0,06
182,1993.0,2,127.0188451,37.57395765,86.24,1,1400,0.23529,5,23,0,06
183,1993.0,2,127.01718670000001,37.57461095,73.65,1,950,0.17219,3,23,0,06
184,1993.0,2,127.0006248,37.58032172,96.01,1,2150,0.22141999999999998,2,23,0,04
185,1993.0,2,127.0118935,37.57256603,42.62,1,370,0.15065,5,23,0,04
186,1993.0,2,126.9834288,37.5692727,71.29,1,1380,0.10868,6,23,0,01
187,1993.0,2,126.98232390000001,37.56967262,267.8,1,1111,0.09393,5,23,0,01
188,1993.0,2,126.9838476,37.56857937,78.0,1,1460,0.19315,5,23,0,01
189,1993.0,2,126.9945707,37.58420455,54.44,1,2400,0.69182,3,23,0,04
191,1993.0,2,126.98781229999999,37.57062213,98.62,1,2499,0.38244,6,23,0,03
192,1993.0,2,126.9949172,37.58417305,63.4,1,964,0.66203,6,23,0,04
193,1993.0,2,126.9881125,37.570075,63.57,1,5439,0.3574,5,23,0,03
194,1993.0,2,126.9837055,37.57797964,41.43,1,2874,0.22391,7,23,0,03
195,1993.0,2,126.9836639,37.57762382,9.75,1,466,0.19935,6,23,0,03
196,1993.0,2,127.0077287,37.57206228,45.5,1,1395,0.25845999999999997,4,23,0,04
197,1993.0,2,127.00986599999999,37.57238211,24.52,1,3448,0.10377,6,23,0,04
198,1993.0,2,126.9851825,37.56869851,79.85,1,697,0.24756,6,23,0,01
199,1993.0,2,126.99878770000001,37.57171682,99.82,1,3662,0.25665,7,23,0,01
201,1993.0,2,127.00223290000001,37.57083481,62.2,1,1495,0.06272,5,23,0,01
202,1993.0,2,126.98552959999999,37.57946248,56.25,1,1510,0.33034,4,23,0,03
204,1993.0,2,126.9975077,37.58343413,66.17,1,890,0.41953,2,23,0,04
206,1993.0,2,126.9815091,37.57386982,122.18,1,8344,0.43018,3,23,0,01
207,1993.0,2,126.9785136,37.57205651,33.3,1,1217,0.19102,4,23,0,05
208,1993.0,2,126.9943826,37.58518674,32.45,1,1210,0.7518,3,23,0,04
209,1993.0,2,126.9981652,37.58390121,84.43,1,3563,0.39144,6,23,0,04
